Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustDir;WindGustSpeed;WindDir9am;WindDir3pm;WindSpeed9am;WindSpeed3pm;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;Cloud9am;Cloud3pm;Temp9am;Temp3pm;RainToday;RainTomorrow
26.12.2008;Albury;16.II;33.9;0;NA;NA;WSW;35;SE;WSW;9;13;45;19;1010.9;1007.6;NA;1;23.II;33;No;No
27.12.2008;Albury;16.IX;33;0;NA;NA;WSW;57;NA;W;0;26;41;28;1006.8;1003.6;NA;1;26.VI;31.2;No;No
28.12.2008;Albury;20.I;32.7;0;NA;NA;WNW;48;N;WNW;13;30;56;15;1005.2;1001.7;NA;NA;24.VI;32.1;No;No
29.12.2008;Albury;19.VII;27.II;0;NA;NA;WNW;46;NW;WSW;19;30;49;22;1004.8;1004.2;NA;NA;21.VI;26.I;No;Yes
30.12.2008;Albury;12.V;24.II;01.II;NA;NA;WNW;50;WSW;SW;11;22;78;70;1005.6;1003.4;8;8;12.V;18.II;Yes;No
31.12.2008;Albury;12;24.IV;0.8;NA;NA;W;39;WNW;WNW;17;17;48;28;1006.1;1005.1;1;NA;16.IX;22.VII;No;No
01.01.2009;Albury;11.III;26.V;0;NA;NA;WNW;56;W;WNW;19;31;46;26;1004.5;1003.2;NA;NA;19.VII;25.VII;No;No
02.01.2009;Albury;09.VI;23.IX;0;NA;NA;W;41;WSW;SSW;19;11;44;22;1014.4;1013.1;NA;NA;14.IX;22.I;No;No
03.01.2009;Albury;10.V;28.VIII;0;NA;NA;SSE;26;SSE;E;11;7;43;22;1018.7;1014.8;NA;NA;17.I;26.V;No;No
04.01.2009;Albury;12.III;34.6;0;NA;NA;WNW;37;SSE;NW;6;17;41;12;1015.1;1010.3;NA;NA;20.VII;33.9;No;No
05.01.2009;Albury;12.IX;35.8;0;NA;NA;WNW;41;ENE;NW;6;26;41;9;1012.6;1009.2;NA;NA;22.IV;34.4;No;No
06.01.2009;Albury;13.VII;37.9;0;NA;NA;W;52;SE;WNW;4;26;33;8;1010.9;1006.7;NA;NA;23.I;36.8;No;No
07.01.2009;Albury;16.I;38.9;0;NA;NA;W;57;E;W;6;30;34;12;1007;1002.7;NA;NA;25.II;38.4;No;No
08.01.2009;Albury;14;28.III;0;NA;NA;W;48;W;WSW;17;24;43;15;1011.9;1010.9;NA;NA;17.IX;27.VI;No;No
09.01.2009;Albury;12.V;28.IV;0;NA;NA;NE;37;SSE;S;20;9;38;16;1017.8;1013.7;NA;NA;17.II;26.VI;No;No
10.01.2009;Albury;17;30.VIII;0;NA;NA;NE;37;NNE;E;15;11;36;24;1013.4;1008.1;NA;NA;20.II;29.III;No;No
11.01.2009;Albury;16.IX;32;0;NA;NA;S;31;SSE;N;13;17;52;31;1009.9;1006.8;NA;NA;22.VIII;30;No;No
12.01.2009;Albury;17.III;34.7;0;NA;NA;SW;35;SE;WSW;7;15;48;16;1014.1;1012.1;NA;NA;24.II;33.2;No;No
13.01.2009;Albury;17.II;37.7;0;NA;NA;NNW;35;SE;NW;7;17;51;19;1015.7;1010.9;NA;NA;24.III;35.7;No;No
14.01.2009;Albury;17.IV;43;0;NA;NA;NW;39;SSE;SSW;7;17;40;8;1011.6;1006.9;NA;NA;25.VI;41.5;No;No
15.01.2009;Albury;19.VIII;32.7;0;NA;NA;WNW;44;W;W;20;28;34;28;1008.4;1009.2;NA;NA;27.VI;27.I;No;No
16.01.2009;Albury;14.IX;26.VII;0;NA;NA;SW;56;WSW;SW;20;31;46;20;1014.1;1012.7;NA;NA;18;25.V;No;No
17.01.2009;Albury;10.V;28.IV;0;NA;NA;SE;33;SE;SW;19;11;35;16;1019.7;1017.4;NA;NA;16;25.VIII;No;No
18.01.2009;Albury;11.III;32.2;0;NA;NA;WNW;28;ENE;SSW;17;15;34;17;1019.7;1016.2;NA;NA;20.IX;30.V;No;No
19.01.2009;Albury;13.IX;36.6;0;NA;NA;WNW;39;SSE;NNE;2;15;39;10;1015.8;1010.6;NA;NA;22;34.4;No;No
20.01.2009;Albury;18.VI;39.9;0;NA;NA;NNW;61;SSE;WNW;9;20;36;21;1010.1;1004.8;NA;NA;26.VIII;37.7;No;No
21.01.2009;Albury;19.III;38.1;0.8;NA;NA;NNW;61;NE;WSW;15;17;48;17;1009.6;1005.9;NA;NA;27.III;36.1;No;No
22.01.2009;Albury;24.IV;34;0.6;NA;NA;NW;98;N;NNW;26;48;60;39;1005.3;997.8;4;1;26.I;33.1;No;Yes
23.01.2009;Albury;18.VIII;35.2;06.IV;NA;NA;WNW;52;S;NW;6;28;43;28;1007.9;1003.9;NA;NA;22.VIII;33;Yes;No
24.01.2009;Albury;20.VIII;30.VI;0;NA;NA;W;54;W;W;30;28;41;21;1005.4;1007.6;NA;NA;23.III;29.VII;No;No
25.01.2009;Albury;14;34.3;0;NA;NA;WSW;24;ESE;SSE;7;13;44;10;1016.5;1014.6;NA;NA;21.II;32.1;No;No
26.01.2009;Albury;15.VII;38.4;0;NA;NA;S;33;SSE;WSW;7;7;48;12;1017.7;1014.6;NA;NA;23.IV;36.5;No;No
27.01.2009;Albury;18.V;38.2;0;NA;NA;NNE;31;SE;NNW;9;17;48;25;1017.8;1014.1;NA;NA;25.VIII;36.2;No;No
28.01.2009;Albury;20.IV;40.7;0;NA;NA;N;37;E;NNE;7;13;45;15;1014.9;1011.6;NA;NA;28.II;39.2;No;No
29.01.2009;Albury;21.VIII;41.5;0;NA;NA;SW;24;ESE;S;6;11;38;13;1015.7;1011.8;NA;NA;29;40.1;No;No
30.01.2009;Albury;22.III;42.9;0;NA;NA;NNE;28;ESE;SE;9;11;37;11;1014.6;1010.2;NA;NA;29.2;41.2;No;No
31.01.2009;Albury;22;42.7;0;NA;NA;ESE;48;ESE;SW;4;4;33;11;1014.2;1010.5;NA;NA;29.IX;42;No;No
01.02.2009;Albury;28;43.1;0;NA;NA;SW;83;SE;E;15;9;27;9;1012.5;1008.7;NA;NA;32.4;41.9;No;No
02.02.2009;Albury;24.IV;38.3;0.2;NA;NA;SW;56;NE;NW;19;7;32;21;1011.7;1007.4;NA;NA;28.VIII;37.1;No;No
03.02.2009;Albury;21.V;37.7;0;NA;NA;NA;NA;N;NA;13;9;51;21;1009.2;1005.7;NA;NA;27.II;36.2;No;No
04.02.2009;Albury;21.VII;36.9;0;NA;NA;NA;NA;NA;NA;11;11;53;26;1008.8;1004.7;NA;NA;25.V;35.2;No;No
05.02.2009;Albury;21.V;41.2;0;NA;NA;WSW;35;SSE;S;7;19;48;15;1005.9;1002.6;NA;NA;26.V;39.7;No;No
06.02.2009;Albury;23.V;42.2;0;NA;NA;W;37;SE;W;6;15;39;8;1008;1005;NA;NA;28.VII;41.6;No;No
07.02.2009;Albury;22.III;44.8;0;NA;NA;NNW;59;SE;NW;9;33;36;11;1008.2;1003.8;NA;NA;29.VI;43.4;No;No
08.02.2009;Albury;28.III;40.2;0;NA;NA;NW;52;N;W;9;22;20;19;1007;1006.5;NA;5;34.5;38.5;No;No
09.02.2009;Albury;18.IV;31.2;0.4;NA;NA;SE;37;SW;WSW;7;11;66;31;1009.3;1007.8;7;8;18.VII;29.IV;No;No
10.02.2009;Albury;14.IX;27.III;0;NA;NA;SSE;41;SSE;SE;20;13;50;30;1011.6;1008.5;NA;1;17.IV;25.VIII;No;No
11.02.2009;Albury;13.V;26.VII;0;NA;NA;SSE;46;SSE;E;19;11;45;24;1012.8;1011.1;NA;NA;16.VII;24.IX;No;No
12.02.2009;Albury;16.I;21.VI;0;NA;NA;SE;46;SSE;NE;11;15;58;69;1017;1017.3;2;8;17;17.III;No;Yes
13.02.2009;Albury;14.VI;29;3;NA;NA;SSE;41;SE;SSE;26;24;41;21;1023.3;1019.7;NA;NA;18;27.VI;Yes;No
14.02.2009;Albury;12.IV;29.2;0;NA;NA;NE;39;S;NA;7;0;37;18;1022.5;1016.4;NA;NA;18.III;28.V;No;No
15.02.2009;Albury;13.III;31.III;0;NA;NA;NNE;41;SSE;SSW;7;15;50;23;1016.2;1012.8;NA;NA;19.II;29.2;No;No
16.02.2009;Albury;17.II;31.I;0;NA;NA;E;35;SE;ESE;17;11;43;22;1017.7;1013.8;NA;NA;21.IV;29.V;No;No
17.02.2009;Albury;12.V;28.VIII;0;NA;NA;N;31;SSE;ENE;7;11;46;17;1017.2;1013.5;NA;NA;18;27;No;No
18.02.2009;Albury;18;32;0;NA;NA;NW;31;ENE;SW;4;13;44;22;1012.4;1007.5;NA;NA;22.I;30.VII;No;No
19.02.2009;Albury;16.II;34;0;NA;NA;WSW;48;SE;WSW;4;22;53;16;1007.8;1004.5;NA;NA;21;32.7;No;No
20.02.2009;Albury;18.VII;29.I;0;NA;NA;SSW;41;NNW;SSE;7;17;45;39;1010.1;1010.8;NA;NA;21.V;26.VIII;No;No
21.02.2009;Albury;13.VII;31.VII;0;NA;NA;SSE;28;SSE;S;2;9;63;19;1012.5;1010.4;NA;NA;19.III;29.VIII;No;No
22.02.2009;Albury;15.V;33.2;0;NA;NA;NW;31;S;WNW;11;15;49;23;1015.6;1012.4;NA;NA;20.IX;31.III;No;No
23.02.2009;Albury;14.III;34;0;NA;NA;NW;70;SE;NW;6;22;48;10;1013;1009.2;NA;NA;20.VII;33.4;No;No
24.02.2009;Albury;12.IX;29.VI;0;NA;NA;WNW;46;SW;WNW;7;24;54;14;1014;1012.7;6;7;18.VII;28.VI;No;No
25.02.2009;Albury;08.IX;31.9;0;NA;NA;WNW;43;NA;WSW;0;17;49;16;1016.6;1013.4;7;7;15;29.III;No;No
26.02.2009;Albury;15;32.7;0;NA;NA;ESE;26;ESE;S;15;2;43;19;1017.8;1015;NA;NA;20.VII;30.V;No;No
27.02.2009;Albury;15.IV;32.6;0;NA;NA;W;24;NA;S;0;6;53;25;1016.2;1012.6;NA;NA;20;30.VIII;No;No
28.02.2009;Albury;16;34.5;0;NA;NA;WSW;44;E;NA;6;NA;44;14;1007.5;1004.6;NA;NA;22.II;33.6;No;No
01.03.2009;Albury;12.VIII;30.III;0;NA;NA;W;30;W;WSW;4;13;53;27;1010.5;1008.7;NA;NA;17.III;28.I;No;No
02.03.2009;Albury;13.II;31.9;0;NA;NA;NNW;35;S;ENE;6;9;53;25;1014.1;1011.6;NA;NA;18;29.VIII;No;No
03.03.2009;Albury;18;31.I;0;NA;NA;WNW;52;NE;NNE;15;26;58;35;1014.7;1009;5;NA;23;29.2;No;No
04.03.2009;Albury;13.VIII;22.I;0.2;NA;NA;WNW;57;W;WNW;26;33;57;26;1014.5;1013.1;NA;NA;15.VI;21.IX;No;No
05.03.2009;Albury;11.V;22;0;NA;NA;SW;50;WSW;W;19;33;60;33;1013.7;1011.8;NA;NA;13.IX;21.IV;No;No
06.03.2009;Albury;07.VI;24;0;NA;NA;WSW;30;NA;WNW;0;13;52;23;1014.5;1012;NA;NA;12.VI;22;No;No
07.03.2009;Albury;08.III;27.IX;0;NA;NA;W;37;S;W;4;20;58;22;1015.2;1012.4;NA;NA;13.III;27;No;No
08.03.2009;Albury;11;30.2;0;NA;NA;SSE;24;E;SSE;7;11;54;20;1017;1014.7;NA;NA;17.VI;28.VIII;No;No
09.03.2009;Albury;13.VIII;31.VIII;0;NA;NA;NNE;24;SSE;NE;6;17;49;28;1019.7;1015.9;NA;NA;18.VI;30.V;No;No
10.03.2009;Albury;15.V;32;0;NA;NA;NE;50;ESE;E;2;4;51;25;1019.5;1016.2;NA;NA;20.I;30.VIII;No;Yes
11.03.2009;Albury;18.IV;30.V;01.II;NA;NA;NE;44;NE;N;15;19;57;23;1021.3;1018;NA;NA;21.V;29.VI;Yes;No
12.03.2009;Albury;20.IX;25.VII;0;NA;NA;W;37;ENE;S;11;9;52;90;1019.5;1018.9;NA;8;22.II;18.VIII;No;Yes
13.03.2009;Albury;17.I;25.VIII;05.VIII;NA;NA;ENE;31;NA;S;0;13;82;68;1017.4;1014.7;8;NA;19;23.VIII;Yes;Yes
14.03.2009;Albury;16.IV;27;3;NA;NA;SW;69;E;N;9;22;82;74;1012.7;1008;NA;4;19.IX;19.VII;Yes;Yes
15.03.2009;Albury;10;19.VII;11.VI;NA;NA;WNW;39;W;NW;11;17;62;41;1013.4;1012;NA;8;12.VII;18.III;Yes;No
16.03.2009;Albury;08.VIII;21.IX;0;NA;NA;W;39;S;WNW;2;20;78;34;1013.3;1011.6;NA;6;12.II;20.V;No;No
17.03.2009;Albury;08.IV;25.III;0;NA;NA;WNW;35;SSE;WSW;9;17;78;34;1015.6;1013.2;NA;NA;12.I;23.IX;No;No
18.03.2009;Albury;09.III;28;0;NA;NA;NW;52;SSE;NW;6;11;76;19;1017.4;1013.9;NA;NA;14.VII;27.II;No;No
19.03.2009;Albury;11.III;30.I;0;NA;NA;WSW;24;S;SW;6;7;56;15;1016.3;1013.6;NA;NA;14.VII;29.III;No;No
20.03.2009;Albury;11.V;33.5;0;NA;NA;SSE;22;NE;N;7;7;50;13;1016.5;1013.6;NA;NA;17.IV;32.6;No;No
21.03.2009;Albury;13.VIII;33.6;0;NA;NA;NNW;28;NA;NNE;0;11;47;17;1017;1013.1;NA;2;18.VIII;33.5;No;No
22.03.2009;Albury;14.VI;30;0;NA;NA;NE;37;E;NNE;4;19;56;30;1014.8;1012.7;3;1;18.I;29;No;No
23.03.2009;Albury;14.IV;31.6;0;NA;NA;NW;37;NA;WNW;0;24;63;25;1013.7;1011.8;NA;NA;18.VIII;31.4;No;No
24.03.2009;Albury;10.VIII;31.9;0;NA;NA;S;48;SSE;WNW;6;20;62;20;1016.5;1014.4;NA;NA;15.IV;30.VII;No;No
25.03.2009;Albury;15.IV;22.III;0.4;NA;NA;ENE;30;SSE;SSE;11;9;69;78;1017.4;1019.2;8;8;18.III;19.VI;No;Yes
26.03.2009;Albury;13.III;29.VIII;01.VIII;NA;NA;WSW;33;NA;WNW;0;20;87;26;1019.1;1017.2;NA;6;16.II;29.2;Yes;No
27.03.2009;Albury;10.I;27.VI;0;NA;NA;WNW;43;NA;W;0;11;63;30;1023;1020.7;NA;NA;16.V;26.VIII;No;No
28.03.2009;Albury;09.I;28.IX;0;NA;NA;NNW;24;N;N;2;17;60;26;1023.8;1020.6;NA;NA;14;27.VII;No;No
29.03.2009;Albury;10.IV;31.2;0;NA;NA;S;22;NA;SE;0;6;60;18;1022.4;1019.1;NA;NA;16;29.IX;No;No
30.03.2009;Albury;13.IV;30.IV;0;NA;NA;ENE;22;NA;SE;0;9;57;16;1023;1019.5;NA;NA;17.II;29.2;No;No
31.03.2009;Albury;12.III;29.IX;0;NA;NA;WSW;26;S;SSW;2;13;61;25;1023.2;1019.5;NA;NA;17.I;28.VI;No;No
01.04.2009;Albury;12.II;30.VI;0;NA;NA;SE;22;NA;ENE;0;6;59;22;1022.6;1019.4;NA;NA;16.VI;29.V;No;No
02.04.2009;Albury;14.III;32.1;0;NA;NA;NE;28;NA;ENE;0;11;59;30;1022.6;1018.4;NA;NA;18.IV;30.IX;No;Yes
03.04.2009;Albury;18.IV;28.I;08.VI;NA;NA;W;98;E;NNE;7;17;92;49;1018.8;1012.9;8;6;19;27.IV;Yes;Yes
04.04.2009;Albury;10.VII;21.IV;12.VI;NA;NA;W;43;NA;WSW;0;13;60;33;1019.8;1019.3;NA;NA;13.IX;20.III;Yes;No
05.04.2009;Albury;07.VIII;21.VII;0;NA;NA;WSW;31;E;NW;6;19;72;37;1020.4;1016.5;NA;NA;12.IX;21.II;No;No
06.04.2009;Albury;08.I;21.IV;0;NA;NA;W;35;SSE;WSW;13;19;58;20;1021.8;1019.6;NA;NA;13.VIII;20.IX;No;No
07.04.2009;Albury;07.V;22.V;0;NA;NA;SE;28;S;S;7;7;55;27;1026.7;1023.5;NA;NA;13.III;21.VI;No;No
08.04.2009;Albury;08.II;24;0;NA;NA;SSE;17;SSE;SSE;7;13;60;30;1027.1;1023.4;NA;NA;13.VIII;23.V;No;No
09.04.2009;Albury;08.I;25.VII;0;NA;NA;ENE;22;ESE;S;9;13;67;27;1024.2;1019.6;NA;NA;15.I;25;No;No
10.04.2009;Albury;11.VI;26.VII;0;NA;NA;W;48;SE;NE;6;11;59;42;1021.5;1017.7;8;7;16.IV;24.III;No;Yes
11.04.2009;Albury;13;24.IX;08.IV;NA;NA;W;46;S;E;6;11;75;47;1024.4;1020.3;8;6;18;24.IV;Yes;Yes
12.04.2009;Albury;13.V;24.II;06.II;NA;NA;WSW;20;NA;SE;0;6;88;52;1024.1;1020.8;8;NA;15.IV;23.I;Yes;No
13.04.2009;Albury;09.IX;25.IV;0;NA;NA;NNE;19;ENE;SSW;4;7;65;35;1023;1018.7;NA;NA;16.I;25;No;No
14.04.2009;Albury;12.II;25;0;NA;NA;WNW;30;NA;W;0;15;68;39;1016.3;1011.6;6;NA;16.II;24.VI;No;No
15.04.2009;Albury;10.VII;21.IX;0;NA;NA;W;63;NW;W;26;31;44;27;1008.2;1009.8;2;NA;20.V;18.IX;No;No
16.04.2009;Albury;03.V;20;0;NA;NA;W;31;NA;WNW;0;13;65;30;1016.3;1012.8;NA;NA;09.VI;19.IV;No;No
17.04.2009;Albury;06.VI;21.VI;0;NA;NA;WNW;26;ENE;W;6;11;59;39;1018.5;1016.8;5;1;12.VI;21.VI;No;No
18.04.2009;Albury;7;23.IV;0;NA;NA;W;24;SSE;W;2;17;73;37;1022.8;1019.3;NA;NA;12.IV;22.IX;No;No
19.04.2009;Albury;11.II;23.IX;0;NA;NA;SE;31;SE;SE;13;15;54;33;1022.7;1019.6;NA;NA;18;23.VI;No;No
20.04.2009;Albury;07.IV;22;0;NA;NA;SSE;28;SE;SE;2;7;58;29;1023.6;1020;NA;NA;14.I;21.III;No;No
21.04.2009;Albury;05.VII;21.IV;0;NA;NA;ESE;17;ENE;SSE;6;7;68;39;1025.2;1020.9;NA;NA;12.II;20.IX;No;No
22.04.2009;Albury;06.II;22.VII;0;NA;NA;ESE;17;NA;SW;0;7;73;33;1026;1021.6;NA;NA;11.II;22.III;No;No
23.04.2009;Albury;6;22.IX;0;NA;NA;NE;33;NA;NE;0;20;68;34;1021.3;1015.7;NA;NA;12.IX;22.VI;No;No
24.04.2009;Albury;10.VI;16.II;0;NA;NA;WNW;39;ESE;NNE;7;4;74;86;1008.9;1002.4;8;8;14.IX;15.I;No;Yes
25.04.2009;Albury;12.IX;15.VIII;20;NA;NA;W;70;WNW;NNW;19;15;83;89;1004.8;1000.9;8;8;13.III;14.V;Yes;Yes
26.04.2009;Albury;08.VI;12.IX;21;NA;NA;NNW;63;NW;WNW;26;31;77;62;1004;1003.3;8;8;09.V;11.VI;Yes;Yes
27.04.2009;Albury;04.V;11.V;03.II;NA;NA;NW;26;N;NNW;9;13;82;79;1013.8;1013.5;8;8;07.VI;09.IV;Yes;Yes
28.04.2009;Albury;07.VI;14.V;04.VIII;NA;NA;WNW;35;W;W;15;20;83;48;1018;1018.3;8;1;10.I;14;Yes;No
29.04.2009;Albury;05.IV;12.II;0;NA;NA;SSE;19;SE;SSE;9;7;62;46;1023.1;1020.9;NA;8;08.II;12.I;No;No
30.04.2009;Albury;02.I;16.V;0;NA;NA;SW;19;NA;SW;0;7;70;38;1023.4;1021.5;NA;NA;07.IX;16.I;No;No
01.05.2009;Albury;01.VIII;17;0;NA;NA;SW;19;NA;WSW;0;7;77;44;1026;1023.2;NA;NA;07.II;16.III;No;No
02.05.2009;Albury;07.II;19.II;0;NA;NA;SW;22;ENE;W;7;6;81;49;1026.9;1024;8;4;10.I;19.I;No;No
03.05.2009;Albury;04.VI;18.IX;0;NA;NA;S;15;N;SSE;4;7;75;51;1028.7;1025.9;NA;NA;10.VI;18.V;No;No
04.05.2009;Albury;04.II;19.I;0;NA;NA;W;19;ENE;WSW;6;13;86;44;1029.8;1027.3;NA;NA;09.VI;18.VIII;No;No
05.05.2009;Albury;05.II;18.VIII;0;NA;NA;ESE;15;NA;SE;0;7;71;47;1031.4;1028.1;NA;NA;10.III;18.IV;No;No
06.05.2009;Albury;04.I;19.III;0;NA;NA;SW;20;ENE;WNW;6;7;82;49;1028.5;1024.6;NA;NA;10;19.II;No;No
07.05.2009;Albury;03.II;18.IV;0;NA;NA;SW;20;SE;WNW;6;11;86;49;1026.2;1023.6;NA;NA;08.III;18.II;No;No
08.05.2009;Albury;04.III;19;0;NA;NA;W;15;NA;W;0;9;68;36;1028.8;1025.8;NA;NA;11;18.V;No;No
09.05.2009;Albury;03.VII;20.V;0;NA;NA;W;17;NA;WSW;0;7;78;45;1026;1021.8;NA;NA;09.IV;20.II;No;No
10.05.2009;Albury;05.IV;19.V;0;NA;NA;SE;17;NA;SE;0;7;69;40;1025.1;1022.3;NA;NA;11.VII;19.I;No;No
11.05.2009;Albury;04.III;17.VII;0;NA;NA;ESE;15;NNW;S;6;7;89;53;1025.6;1022.2;8;NA;08.V;17.VII;No;No
12.05.2009;Albury;03.VI;18.V;0;NA;NA;W;26;ENE;WNW;4;17;81;49;1022.3;1018.5;NA;NA;09.I;18;No;No
13.05.2009;Albury;03.VI;15.I;0;NA;NA;WNW;28;SE;W;4;17;86;61;1018.4;1015.7;NA;8;07.V;14.VI;No;No
14.05.2009;Albury;06.IX;16.III;0;NA;NA;WNW;35;WNW;WNW;17;19;77;59;1015.3;1013.1;8;8;10.III;15.III;No;No
15.05.2009;Albury;10.III;16.VI;0;NA;NA;WNW;54;NW;NW;13;19;82;63;1015;1011;8;7;12.IX;15.IX;No;Yes
16.05.2009;Albury;12.IV;16.IV;01.VIII;NA;NA;W;52;W;WSW;22;24;82;54;1011.8;1013.4;8;8;13;14.V;Yes;No
17.05.2009;Albury;3;15.VI;0;NA;NA;W;20;E;E;6;9;83;61;1022.5;1019.3;4;NA;7;14.VII;No;No
18.05.2009;Albury;02.VI;19.VII;0;NA;NA;E;13;NA;ENE;0;4;82;34;1024.7;1021.2;NA;NA;08.VIII;18.VII;No;No
19.05.2009;Albury;03.VII;19.I;0;NA;NA;SSE;19;NA;SSE;0;11;87;51;1023.6;1019.9;NA;NA;07.IV;18.IX;No;No
20.05.2009;Albury;05.I;18.VI;0;NA;NA;E;13;SSE;ENE;2;9;75;57;1022.8;1020.5;7;7;12.IV;18;No;No
21.05.2009;Albury;04.IV;19.VIII;0;NA;NA;SE;20;NA;SE;0;7;81;48;1025.2;1022.3;NA;NA;09.IV;19.I;No;No
22.05.2009;Albury;04.VII;19.VIII;0;NA;NA;SE;24;S;SE;4;19;75;43;1025.2;1021.4;NA;NA;10.I;19.VI;No;No
23.05.2009;Albury;06.II;22.IX;0;NA;NA;E;30;NE;SE;6;9;71;37;1022.2;1019.4;NA;NA;11.IX;21.VII;No;No
24.05.2009;Albury;06.VII;21.I;0;NA;NA;SE;20;NA;SE;0;11;69;43;1025;1022.1;NA;NA;12.V;20.VIII;No;No
25.05.2009;Albury;09.III;20.III;0;NA;NA;NE;31;SE;NE;9;22;77;50;1024.6;1019.7;2;8;11.VI;19.V;No;Yes
26.05.2009;Albury;11.VI;18.I;04.II;NA;NA;E;19;E;SSE;2;6;97;74;1021.4;1019.2;8;3;13.VI;17.IV;Yes;No
27.05.2009;Albury;8;16.II;0.8;NA;NA;W;20;NA;WSW;0;11;99;58;1021.7;1019.3;8;NA;10.I;15.VI;No;No
28.05.2009;Albury;02.VI;15.VII;0;NA;NA;SSE;13;NA;S;0;2;91;48;1023.4;1021.6;NA;NA;07.I;15.III;No;No
29.05.2009;Albury;02.II;16.V;0;NA;NA;ESE;33;NA;SE;0;19;67;44;1025.6;1024;NA;NA;10.II;15.IX;No;No
